Summary

-------character entropy-------
towards: entropy = 1.617201702263915, entropy normalised = 0.2310288146091307
comfortable: entropy = 2.389719334625556, entropy normalised = 0.21724721223868693
chair.: entropy = 1.1895325417697933, entropy normalised = 0.19825542362829887
“And: entropy = 0.4729606800486659, entropy normalised = 0.11824017001216648
what: entropy = 0.928350641057962, entropy normalised = 0.2320876602644905
difficulty: entropy = 1.8291369697398001, entropy normalised = 0.18291369697398002
now?”: entropy = 0.6560267905468669, entropy normalised = 0.13120535810937337
asked.: entropy = 1.1638360423024448, entropy normalised = 0.19397267371707413
“Nothing: entropy = 1.4466738570995057, entropy normalised = 0.1808342321374382
more: entropy = 1.0044302897064412, entropy normalised = 0.2511075724266103
assassination: entropy = 3.3911420071418648, entropy normalised = 0.2608570774724511
way,: entropy = 0.5915074829069784, entropy normalised = 0.1478768707267446
hope?”: entropy = 0.9933188210593547, entropy normalised = 0.16555313684322578
“Oh: entropy = 0.2519124084842658, entropy normalised = 0.08397080282808861
no;: entropy = 0.5451633301590687, entropy normalised = 0.1817211100530229
nothing: entropy = 1.6892435318586285, entropy normalised = 0.24132050455123263
nature.: entropy = 1.6477984019787326, entropy normalised = 0.2353997717112475
fact: entropy = 0.8503974190488697, entropy normalised = 0.21259935476221742
is,: entropy = 0.5991351589172039, entropy normalised = 0.19971171963906797
very: entropy = 0.7711704359921363, entropy normalised = 0.19279260899803408
simple: entropy = 1.2848330505517598, entropy normalised = 0.21413884175862663
indeed,: entropy = 1.7338686361839157, entropy normalised = 0.2476955194548451
make: entropy = 0.8159156014326197, entropy normalised = 0.2039789003581549
no: entropy = 0.5289252023915376, entropy normalised = 0.2644626011957688
doubt: entropy = 0.9885296563187995, entropy normalised = 0.1977059312637599
can: entropy = 0.670886695265783, entropy normalised = 0.22362889842192768
manage: entropy = 1.4173748695617383, entropy normalised = 0.23622914492695637
sufficiently: entropy = 2.5145910547756776, entropy normalised = 0.2095492545646398
well: entropy = 0.8460650211970451, entropy normalised = 0.21151625529926127
ourselves;: entropy = 2.126828226701015, entropy normalised = 0.2126828226701015
then: entropy = 1.174880976128285, entropy normalised = 0.29372024403207125
thought: entropy = 1.5967948850535354, entropy normalised = 0.2281135550076479
would: entropy = 0.8876136467632283, entropy normalised = 0.17752272935264565
like: entropy = 0.8451151311447028, entropy normalised = 0.2112787827861757
hear: entropy = 1.1116404434586102, entropy normalised = 0.27791011086465256
details: entropy = 1.8177980833751757, entropy normalised = 0.25968544048216796
because: entropy = 1.6175600166547777, entropy normalised = 0.23108000237925394
so: entropy = 0.5067595650529644, entropy normalised = 0.2533797825264822
excessively: entropy = 2.3499414059894552, entropy normalised = 0.2136310369081323
odd.”: entropy = 0.7082953010265989, entropy normalised = 0.14165906020531976
“Simple: entropy = 1.06638053579373, entropy normalised = 0.1523400765419614
odd,”: entropy = 0.7545310068871637, entropy normalised = 0.15090620137743274
Dupin.: entropy = 0.8254230033220825, entropy normalised = 0.13757050055368042
“Why,: entropy = 0.46009231181922183, entropy normalised = 0.09201846236384437
yes;: entropy = 0.7275559968796398, entropy normalised = 0.18188899921990995
exactly: entropy = 1.3914577899164686, entropy normalised = 0.19877968427378123
that,: entropy = 1.2320169924514657, entropy normalised = 0.24640339849029314
either.: entropy = 1.8309751486277999, entropy normalised = 0.26156787837539996
all: entropy = 0.6402703199705737, entropy normalised = 0.21342343999019123
good: entropy = 0.8221880670374142, entropy normalised = 0.20554701675935355
puzzled: entropy = 0.9969221689892349, entropy normalised = 0.14241745271274783
simple,: entropy = 1.3893873620783792, entropy normalised = 0.1984839088683399
yet: entropy = 0.7819091662359514, entropy normalised = 0.26063638874531714
baffles: entropy = 1.414030601485582, entropy normalised = 0.2020043716407974
altogether.”: entropy = 2.722480041149619, entropy normalised = 0.22687333676246824
“Perhaps: entropy = 1.4712610326187445, entropy normalised = 0.18390762907734307
simplicity: entropy = 1.9711103729927375, entropy normalised = 0.19711103729927376
puts: entropy = 0.7922389237352425, entropy normalised = 0.19805973093381063
you: entropy = 0.5118255706379992, entropy normalised = 0.17060852354599973
fault,”: entropy = 1.1563286698893864, entropy normalised = 0.16518980998419805
friend.: entropy = 1.4934227142502772, entropy normalised = 0.21334610203575388
“What: entropy = 0.8385398409770021, entropy normalised = 0.1677079681954004
nonsense: entropy = 2.2697718226916686, entropy normalised = 0.28372147783645857
do: entropy = 0.45325730118634683, entropy normalised = 0.22662865059317341
talk!”: entropy = 0.8224892096526439, entropy normalised = 0.1370815349421073
replied: entropy = 1.6997952425369793, entropy normalised = 0.24282789179099704
laughing: entropy = 1.5517745723416434, entropy normalised = 0.19397182154270542
heartily.: entropy = 2.0190626689752142, entropy normalised = 0.22434029655280158
too: entropy = 0.8456389382489661, entropy normalised = 0.2818796460829887
plain,”: entropy = 1.1936203345970318, entropy normalised = 0.17051719065671883
“Oh,: entropy = 0.35646672001088525, entropy normalised = 0.08911668000272131
heavens!: entropy = 1.8269249664249232, entropy normalised = 0.2283656208031154
ever: entropy = 1.040953445560596, entropy normalised = 0.260238361390149
heard: entropy = 1.296609668572798, entropy normalised = 0.2593219337145596
such: entropy = 0.7491224962048311, entropy normalised = 0.18728062405120777
idea?”: entropy = 1.1050148601525882, entropy normalised = 0.1841691433587647
“A: entropy = 0.027354328615099607, entropy normalised = 0.013677164307549804
